congress,chamber,icpsr,nominate_dim1,bioname,bioguide_id,party_code,littlesis,party,color,projection-1d,projection-2d_x,projection-2d_y
117,House,31102,0.678,"MASSIE, Thomas",M001184,200,118766,Republican,blue,-0.13249635696411133,-0.2999711036682129,-0.01209324598312378
117,House,20759,0.555,"SCALISE, Steve",S001176,200,13571,Republican,blue,0.1362990140914917,-0.15898364782333374,0.39019453525543213
117,House,21137,-0.486,"RICHMOND, Cedric",R000588,100,50389,Democrat,red,-0.455715537071228,-0.2462681531906128,-0.42834413051605225
117,House,21523,0.426,"GRAVES, Garret",G000577,200,216656,Republican,blue,-0.45743584632873535,-0.551063597202301,-0.7651757001876831
117,House,21724,0.626,"HIGGINS, Clay",H001077,200,257342,Republican,blue,-0.455452024936676,-0.17146265506744385,-0.4050983190536499
117,House,21727,0.563,"JOHNSON, Mike",J000299,200,284895,Republican,blue,-0.47054189443588257,-0.5326876640319824,-0.7492745518684387
117,House,22157,0.414,"LETLOW, Julia",L000595,200,417501,Republican,blue,-0.41917139291763306,-0.23285675048828125,-0.3755464553833008
117,House,22158,-0.494,"CARTER, Troy",C001125,100,416692,Democrat,red,-0.5457010865211487,-0.042539119720458984,-0.4735844135284424
117,House,20920,-0.42,"PINGREE, Chellie",P000597,100,32827,Democrat,red,0.665276288986206,0.2840639352798462,0.6238071918487549
117,House,21923,-0.114,"GOLDEN, Jared",G000592,100,337102,Democrat,red,-0.3504875898361206,-0.5897340774536133,-0.36188673973083496
117,House,14873,-0.381,"HOYER, Steny Hamilton",H000874,100,13348,Democrat,red,0.7799615859985352,0.33978331089019775,0.7239840030670166
117,House,15433,-0.444,"MFUME, Kweisi",M000687,100,418063,Democrat,red,-0.4933709502220154,-0.10405397415161133,-0.43511563539505005
117,House,20329,-0.296,"RUPPERSBERGER, C. A. (Dutch)",R000576,100,13559,Democrat,red,-0.3852669596672058,-0.2872043251991272,-0.3183494210243225
117,House,20724,-0.467,"SARBANES, John",S001168,100,13569,Democrat,red,-0.22155940532684326,-0.4161043167114258,-0.14789998531341553
117,House,21139,0.673,"HARRIS, Andy",H001052,200,31671,Republican,blue,0.004696965217590332,-0.23539161682128906,0.18291056156158447
